1,1,"New England","Indianapolis","9-9-2004","21:00:00"
2,1,"St. Louis","Arizona","9-12-2004","13:00:00"
3,1,"Cleveland","Baltimore","9-12-2004","13:00:00"
4,1,"N.Y. Jets","Cincinnati","9-12-2004","13:00:00"
5,1,"Chicago","Detroit","9-12-2004","13:00:00"
6,1,"Buffalo","Jacksonville","9-12-2004","13:00:00"
7,1,"Pittsburgh","Oakland","9-12-2004","13:00:00"
8,1,"Houston","San Diego","9-12-2004","13:00:00"
9,1,"New Orleans","Seattle","9-12-2004","13:00:00"
10,1,"Washington","Tampa Bay","9-12-2004","13:00:00"
11,1,"Miami","Tennessee","9-12-2004","13:00:00"
12,1,"San Francisco","Atlanta","9-12-2004","16:15:00"
13,1,"Minnesota","Dallas","9-12-2004","16:15:00"
14,1,"Philadelphia","N.Y. Giants","9-12-2004","16:15:00"
15,1,"Denver","Kansas City","9-12-2004","20:30:00"
16,1,"Carolina","Green Bay","9-13-2004","21:00:00"
17,2,"Kansas City","Carolina","9-19-2004","13:00:00"
18,2,"Green Bay","Chicago","9-19-2004","13:00:00"
19,2,"Jacksonville","Denver","9-19-2004","13:00:00"
20,2,"Detroit","Houston","9-19-2004","13:00:00"
21,2,"Tennessee","Indianapolis","9-19-2004","13:00:00"
22,2,"Baltimore","Pittsburgh","9-19-2004","13:00:00"
23,2,"New Orleans","San Francisco","9-19-2004","13:00:00"
24,2,"Atlanta","St. Louis","9-19-2004","13:00:00"
25,2,"N.Y. Giants","Washington","9-19-2004","13:00:00"
26,2,"Tampa Bay","Seattle","9-19-2004","16:05:00"
27,2,"Oakland","Buffalo","9-19-2004","16:15:00"
28,2,"Dallas","Cleveland","9-19-2004","16:15:00"
29,2,"Arizona","New England","9-19-2004","16:15:00"
30,2,"San Diego","N.Y. Jets","9-19-2004","16:15:00"
31,2,"Cincinnati","Miami","9-19-2004","20:30:00"
32,2,"Philadelphia","Minnesota","9-20-2004","21:00:00"
33,3,"Atlanta","Arizona","9-26-2004","13:00:00"
34,3,"Cincinnati","Baltimore","9-26-2004","13:00:00"
35,3,"Minnesota","Chicago","9-26-2004","13:00:00"
36,3,"N.Y. Giants","Cleveland","9-26-2004","13:00:00"
